visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
86586,62072,450,3224,1552,19288,13912,16819,13577,13230,12918,9952
16700,11304,43,34,175,5144,2530,3744,2655,2403,2375,1341
2188,1587,21,13,98,469,241,475,490,298,155,139
2809,1862,11,12,235,689,249,687,482,359,243,138
4200,2723,18,34,308,1117,293,1041,839,463,337,242
28700,20964,133,39,592,6972,4587,6150,5524,4148,2723,1445
13116,9810,141,26,239,2900,1891,3266,2195,1860,1672,970
11159,8239,236,24,1027,1633,1575,3039,1834,1485,1516,643
12984,9744,246,75,1420,1499,2656,4238,1882,1646,1229,465
5915,3861,87,30,212,1725,455,1088,1061,824,628,300
3961,2848,47,11,401,654,634,1074,482,565,492,203
2904,711,63,5,64,2061,137,346,309,191,98,26
4554,3926,29,18,253,328,600,1121,1061,775,554,259
1432,638,10,3,32,749,67,187,182,158,83,25
803,584,36,3,116,64,97,236,129,136,117,54
1490,1114,35,2,219,120,183,573,230,198,174,78
2326,1571,10,3,95,647,243,558,416,305,131,74
1664,1478,22,0,80,84,205,601,256,227,224,114
1342,1055,6,0,46,235,235,272,202,208,164,59
1218,966,9,2,78,163,132,368,199,151,159,86
1075,546,11,2,145,371,68,279,124,121,98,39
1305,995,17,4,112,177,182,336,239,213,163,76
614,223,11,0,6,374,6,47,57,75,50,15
778,508,36,0,7,227,40,100,168,123,76,79
751,321,4,1,27,398,57,107,65,72,45,14
1045,728,13,10,162,132,75,425,132,170,122,42
932,579,9,3,20,321,66,281,202,134,91,45
4668,2668,38,20,382,1560,401,1170,686,521,272,200
13647,12019,95,42,108,1383,1111,1667,2045,2000,2080,4388
3112,2436,21,10,11,634,271,519,521,406,492,752
609,519,1,6,9,74,104,136,149,94,36,24
1887,634,6,1,11,1235,61,659,322,159,138,71
4864,2081,593,165,841,1184,380,1219,1202,656,410,121
57,36,1,0,8,12,2,16,4,10,13,5
16560,0,0,0,0,16560,1019,1466,1757,3797,4571,3950
541350,432018,3873,447,25545,79467,23689,168939,153165,67744,63315,52249
251119,242475,2362,211,1137,4934,30541,76212,37803,40138,35970,27724
102758,100888,112,14,300,1444,9320,25344,25523,17754,13424,10400
45911,44708,49,7,256,891,1796,11432,9506,7831,8902,5696
2727,2687,2,0,24,14,122,990,804,349,299,163
36252,18539,203,196,121,17193,1170,6381,6349,3638,2341,1547
19309,11858,149,317,279,6706,1240,4915,4081,2432,1606,864
