year,class_1,class_2,case_num,less_500,over_500,over_1000,over_1500,over_2000,over_3000,over_max,avg_ex
2017,월별,2월,1300,16.5,31.6,20.7,10.4,8,11.1,1.8,1474
2017,월별,3월,1276,17.7,32.9,21.3,9.2,8.3,8.7,1.9,1344.7
2017,월별,4월,1113,18.8,31.1,18.7,11.4,7.8,9.5,2.7,1432.8
2017,월별,5월,1000,21.3,30.6,19,8.6,6.8,10.2,3.6,1392.7
2017,월별,6월,1025,18.2,29.2,17.9,11.4,8.4,13.3,1.6,1606.2
2017,월별,7월,1039,20.7,30.2,20.7,11.6,7.8,8.2,0.7,1335.2
2017,월별,8월,1147,17.3,31.3,16.4,12.5,8.2,11.9,2.5,1549
2017,월별,9월,1122,21.5,30.6,16.6,10.4,8.7,10.5,1.8,1450.9
2017,월별,10월,1221,19.3,31.7,18.2,9.4,7.6,12.3,1.4,1500
2017,월별,11월,1146,21.6,31.3,16.5,10.2,8.4,10.2,1.7,1408.1
2017,월별,12월,1195,14.3,27.7,16.1,12.6,10.1,16.5,2.8,1803
2017,거주국,일본,2615,36.5,45.7,10.4,3,2.2,1.5,0.6,757.1
2017,거주국,중국,4585,10.1,20.3,18.4,14.2,12.1,21.2,3.8,2108
2017,거주국,홍콩,743,11.3,32.5,25,13.7,7.1,9.9,0.6,1437.4
2017,거주국,싱가포르,228,9.2,21.5,26.1,18.3,16.3,7.1,1.4,1590.2
2017,거주국,대만,1049,10.6,35.7,28.1,11.8,7.4,5.5,0.9,1301.7
2017,거주국,태국,510,15.5,39.4,22.5,9.6,6.9,4.8,1.4,1177.2
2017,거주국,말레이시아,328,17.4,38.5,20.7,12.2,6.2,3.7,1.3,1139.7
2017,거주국,호주,167,21.9,27.3,16.9,10.2,13.9,9,0.7,1409.6
2017,거주국,미국,933,23.7,30.9,18.4,9.6,8,8.7,0.7,1313.5
2017,거주국,캐나다,186,28.1,29.4,17,9.6,7.5,7.4,1,1147.7
2017,거주국,영국,132,21.1,30.7,20.3,8.5,10.8,8,0.5,1363.8
2017,거주국,독일,112,20.5,30.3,17.5,9.5,10,10.1,2.2,1364.5
2017,거주국,프랑스,97,16.2,29.1,22.2,10.8,10,10.8,0.9,1475.6
2017,거주국,러시아,246,15.1,26.4,19.2,10.2,10.5,16.4,2.1,1727.4
2017,거주국,중동전체,226,13.7,20.7,12.8,10,14.7,21.9,6.1,2231.7
2017,거주국,인도,85,22.3,27,15.6,9,8.7,14.3,3.1,1686.2
2017,거주국,필리핀,284,26.4,38.5,19.3,7.9,4.3,2.5,1.1,981.2
2017,거주국,인도네시아,195,16.4,33.9,22.5,10.8,10.5,3.2,2.7,1202.4
2017,거주국,베트남,332,20.5,32.5,22.6,12.2,5,5.8,1.4,1213.5
2017,거주국,기타,787,25.1,28.7,17.3,13,6.4,8.7,0.8,1332.4
2017,성별,남성,6217,21.3,30.1,17.8,11.1,8.1,9.8,1.8,1406.9
2017,성별,여성,7624,16.8,31.2,18.8,10.4,8.4,12.2,2.2,1542.8
2017,연령,15~20세,953,21.4,27.1,18.2,7.9,10.9,11.9,2.6,1521.1
2017,연령,21~30세,5655,16.7,30.1,17.1,11.6,8.6,13.6,2.3,1631.3
2017,연령,31~40세,3429,16.5,29,19.7,11.3,8.6,12.4,2.5,1554.2
2017,연령,41~50세,2128,22.5,31.9,20,9.6,8.1,7,0.9,1260.4
2017,연령,51~60세,1217,24.3,36.5,18.5,10.4,4.7,4.6,0.9,1085.6
2017,연령,61세 이상,444,25.8,38.4,15,7.4,6.7,5.9,0.8,1118.6
2017,연령,모름/무응답,15,12.5,46.9,11.2,9,9.3,8,3,1299.6
2017,방한목적,여가/위락/휴식,7182,16.7,34.6,20.7,11.5,7.9,7.7,0.9,1328.2
2017,방한목적,친구/친지방문,1388,28.5,31.1,15.4,8.9,6.4,8.3,1.4,1227.7
2017,방한목적,사업/전문 활동,2631,26.8,30.5,16,10.1,6.6,8.4,1.6,1281.3
2017,방한목적,교육,799,9.9,10.6,12.4,8.8,18.5,34.5,5.2,2807.9
2017,방한목적,종교 순례,64,45.7,29.5,7.7,5.9,6.6,4.6,-1,1042.2
2017,방한목적,기타,39,45.2,25.7,8.6,5.8,8.6,5.2,0.8,921.5
2017,방한목적,뷰티/건강/치료,171,4.7,17.2,16.1,10.1,11.2,25,15.8,2616.7
2017,방한목적,쇼핑,1566,10.8,25.1,17.7,11.1,9,21.1,5.2,2047.4
2017,여행형태,개별여행,11462,20.8,28.1,17.1,10.6,8.6,12.4,2.3,1537
2017,여행형태,단체여행,1606,8,35.4,27.2,14.1,8,6.5,0.7,1340.7
2017,여행형태,Air-tel Tour,773,11.6,60.5,17.2,4.8,3.7,2,0.2,968.5
2017,방한횟수,1회,6471,17.8,33.6,19.8,10.6,7.6,9.2,1.4,1378.8
2017,방한횟수,2회,2474,15.1,29.7,19.3,12,9.9,11.9,2,1585.8
2017,방한횟수,3회,1315,17.3,27.2,18.7,11.9,10.3,12.5,2.1,1593.4
2017,방한횟수,4회 이상,3581,23.8,27.6,14.9,9.6,7.6,13.5,3,1556.4
2017,직업,공무원 군인,628,18.9,30.4,19.5,12.8,8.2,8.9,1.4,1403.3
2017,직업,기업인 경영직,1464,18.6,28.4,19.7,12.5,9.6,9.4,1.8,1472.6
2017,직업,사무기술직,2543,22.7,34.5,18,9.5,6.3,8,1,1256.3
2017,직업,판매 서비스직,1611,17,33.1,20.1,10.9,7.4,9.1,2.2,1395.3
2017,직업,전문직,1312,22,31.2,18.7,11.2,7.6,8.2,1.1,1313.9
2017,직업,생산/기능/노무,563,20.8,32.6,19.9,10.1,7.6,7.4,1.5,1331.7
2017,직업,자영업자,1635,13.4,23.2,17.3,13.9,10.2,18.6,3.5,1929.8
2017,직업,학생,2269,17.3,30,16.3,8.8,9.9,15.4,2.4,1700.4
2017,직업,주부,647,18.1,39.4,19.7,8,6.2,6.9,1.6,1204.8
2017,직업,은퇴자,151,22.8,35,19,10.8,6.1,5.5,0.7,1144.4
2017,직업,무직,256,21.8,29.8,17.6,5.8,8.9,13.3,2.7,1478.9
2017,직업,기타,721,18.8,25.8,16.7,11.9,9.2,14.2,3.4,1607.5
2017,직업,무응답,42,6.3,33.6,22.7,15.2,5.5,12.3,4.3,1821.5
2018,전체,소계,-1,18.1,34.9,19.5,10.4,8,8.3,0.8,1342.4
2018,월별,1월,-1,21.6,29.7,18.6,11,8.1,9.4,1.6,1423.3
2018,월별,2월,-1,17.1,28.5,18.2,11.2,12.9,10.9,1.3,1515.8
2018,월별,3월,-1,15.2,37,19.2,10.3,8.7,9,0.6,1397.5
2018,월별,4월,-1,15.6,34.8,21.9,10.7,7.1,9,0.9,1360.5
2018,월별,5월,-1,17.6,37.7,18.1,9.4,8.5,7.9,0.6,1323.6
2018,월별,6월,-1,16.1,33.6,21.5,11.4,9.1,7.7,0.6,1340.8
2018,월별,7월,-1,19.5,35.2,18.6,10.4,8.5,7.8,-1,1291.4
2018,월별,8월,-1,20.4,36.4,18.8,9.8,6.4,7.5,0.7,1246.7
2018,월별,9월,-1,19.9,31.1,20.3,12.3,7.4,7.6,1.5,1335.4
2018,월별,10월,-1,16.4,36.5,20,11,6.8,8.4,0.9,1370.8
2018,월별,11월,-1,18.9,41.1,18,7.4,7.3,7,0.3,1229.3
2018,월별,12월,-1,19.7,33.6,20.6,9.9,6.9,8.7,0.6,1331.4
2018,거주국,일본,-1,32.5,48.2,11.6,3.9,2,1.7,-1,791.1
2018,거주국,중국,-1,8.3,24.6,21.3,14.9,12.6,16.8,1.5,1887.4
2018,거주국,홍콩,-1,14,42.8,24.1,9.3,5.2,3.9,0.7,1126.1
2018,거주국,싱가포르,-1,12,36.9,23.2,14.8,8.6,4.2,0.2,1280.3
2018,거주국,대만,-1,14.3,41.2,27.9,8.3,5.2,2.6,0.5,1102.8
2018,거주국,태국,-1,17,41.2,20.4,9.1,7.3,4.2,0.8,1146.8
2018,거주국,말레이시아,-1,17.7,40.8,26,9.3,4.2,1.9,-1,1035.9
2018,거주국,호주,-1,30.8,31.8,14.7,9.2,9.5,4,-1,1048.7
2018,거주국,미국,-1,24.2,34.2,16.8,9.7,8.4,6.1,0.5,1190
2018,거주국,캐나다,-1,32.1,33.6,15.5,7.7,4.7,5.4,1,1006.6
2018,거주국,영국,-1,22.3,35,20.5,9.8,7,5.1,0.3,1158.7
2018,거주국,독일,-1,20.3,36.2,18.1,8.3,8.8,7.5,0.8,1247.9
2018,거주국,프랑스,-1,19.5,34.5,24.6,8.2,9,4.2,-1,1172.5
2018,거주국,러시아,-1,19.6,32.7,18.2,10.7,9.6,8,1.3,1348.7
2018,거주국,중동전체,-1,11.6,25.6,18.4,12.2,15.1,14.5,2.6,1776.6
2018,거주국,인도,-1,20.1,28.3,19.6,9.1,10.5,11.6,0.8,1548.2
2018,거주국,필리핀,-1,29.8,37.1,18.3,7.5,4,2.8,0.5,965.4
2018,거주국,인도네시아,-1,20.7,32.4,24.1,10.2,8.4,3.4,0.8,1126.5
