년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-10,Taiwan,127944,27.97983435,7.725177289,38540,88437,126421,81,10,135,1297,9945,29979,32220,22929,18315,13589
19-10,Hong Kong,65544,6.622419599,3.957505004,20105,44602,64439,63,4,76,962,3114,14214,12619,10989,14106,9665
19-10,Macao,4504,23.12739202,0.271948653,1170,3333,4484,2,0,8,10,154,1430,1139,581,670,529
19-10,Phillipines,55394,6.494155644,3.344654464,16190,22844,37353,195,220,55,17571,4612,9893,9583,6846,4924,3176
19-10,Indonesia,28494,14.29144439,1.720449585,8973,13273,20527,137,285,84,7461,2104,6648,5455,3663,2767,1609
19-10,Thailand,65878,9.904739661,3.977671711,18890,41170,58290,56,344,59,7129,7701,17641,16211,9230,5657,3620
19-10,Vietnam,64820,17.04586493,3.913790345,24190,35277,53659,1226,630,1604,7701,4460,16249,15804,9181,8616,5157
19-10,India,13160,3.760939841,0.794592424,6346,1634,4403,2692,85,84,5896,440,2019,2801,1646,752,322
19-10,Malaysia,45354,11.27631385,2.738445654,15410,27690,42624,160,13,49,2508,3914,12792,9694,6361,6126,4213
19-10,Singapore,24719,13.45756644,1.492517487,9256,14165,23070,199,8,37,1405,1996,5083,4862,4263,4011,3206
19-10,Mongolia,11221,4.585702302,0.677516838,5038,6129,9834,84,421,271,611,1254,1710,3539,2835,1378,451
19-10,Uzbekistan,8375,-1.039820395,0.50567717,5870,1902,3668,968,1,191,3547,380,2234,2785,1489,530,354
19-10,Myanmar,5876,-3.402926188,0.35478914,2237,736,1935,18,214,22,3687,94,1083,1004,478,220,94
19-10,*GCC,2429,1.546822742,0.146661474,1469,902,2237,25,18,55,94,237,661,671,403,264,135
19-10,Kazakhstan,4776,0.167785235,0.28837184,2016,2460,3348,10,10,30,1378,587,1211,1118,720,479,361
19-10,Turkey,2893,11.56961049,0.174677499,1222,568,1649,11,56,14,1163,73,456,632,421,133,75
19-10,Cambodia,3339,5.198487713,0.201606695,2257,1079,1471,64,161,12,1631,204,1606,955,248,178,145
19-10,Sri Lanka,1449,-16.81974742,0.087489698,1080,126,467,82,5,7,888,35,411,457,168,107,28
19-10,Bangladesh,1715,10.14771997,0.103550608,1121,144,337,179,197,46,956,41,372,470,252,100,30
19-10,Pakistan,1010,-17.21311475,0.060983157,834,109,382,258,17,64,289,51,238,337,199,87,31
19-10,Israel,2820,58.96279594,0.170269805,1534,1244,2729,12,5,3,71,204,445,389,412,438,890
19-10,Iran,501,4.158004158,0.030250061,340,136,334,87,21,10,49,24,82,194,105,50,21
19-10,Asia others,6841,7.276148659,0.413055226,4551,1804,3491,626,410,104,2210,393,2120,2018,1033,552,239
19-10,USA,101099,3.053933111,6.104293275,50361,44870,82230,421,2240,157,16051,6219,13894,16454,14595,19557,24512
19-10,Canada,20624,2.164759499,1.245263994,9371,9495,15841,37,33,26,4687,1059,3369,3594,2608,3705,4531
19-10,Brazil,2452,24.27774962,0.148050199,1097,929,1896,16,13,15,512,131,488,594,295,270,248
19-10,Mexico,2878,7.42814483,0.173771808,1330,1083,2355,5,9,24,485,120,602,707,386,322,276
